"","train","train_stop","stop_id","station","time_travel","stop","line_name","station_id"
"1","SI","SI022","S31","St George","180","022","IS","S31"
"2","SI","SI021","S30","Tompkinsville","120","021","IS","S30"
"3","SI","SI020","S29","Stapleton","120","020","IS","S29"
"4","SI","SI018","S27","Grasmere","120","018","IS","S27"
"5","SI","SI017","S26","Old Town","120","017","IS","S26"
"6","SI","SI016","S25","Dongan Hills","120","016","IS","S25"
"7","SI","SI015","S24","Jefferson Av","60","015","IS","S24"
"8","SI","SI014","S23","Grant City","120","014","IS","S23"
"9","SI","SI012","S21","Oakwood Heights","120","012","IS","S21"
"10","SI","SI011","S20","Bay Terrace","120","011","IS","S20"
"11","SI","SI010","S19","Great Kills","120","010","IS","S19"
"12","SI","SI09","S18","Eltingville","120","09","IS","S18"
"13","SI","SI08","S17","Annadale","120","08","IS","S17"
"14","SI","SI07","S16","Huguenot","120","07","IS","S16"
"15","SI","SI05","S14","Pleasant Plains","120","05","IS","S14"
"16","SI","SI03","S12","Nassau","60","03","IS","S12"
"17","R","R030","R28","Court St","210","030","2345NR","R28"
"18","N","N028","N07","Bay Pkwy","90","028","N","N07"
"19","N","N04","R05","Broadway","90","04","NQ","R05"
"20","Q","Q04","R05","Broadway","90","04","NQ","R05"
"21","M","M036","M01","Middle Village - Metropolitan Av","120","036","M","M01"
"22","L","L022","L03","Union Sq - 14 St","90","022","456LNQR","L03"
"23","L","L03","L03","Union Sq - 14 St","120","03","456LNQR","L03"
"24","L","L011","L17","Myrtle - Wyckoff Avs","90","011","LM","L17"
"25","M","M032","M08","Myrtle - Wyckoff Avs","120","032","LM","L17"
"26","L","L02","L28","E 105 St","120","02","L","L28"
"27","H","H04","H12","Beach 90 St","90","04","H","H12"
"28","H","H03","H13","Beach 98 St","120","03","H","H13"
"29","H","H02","H14","Beach 105 St","120","02","H","H14"
"30","H","H01","H15","Rockaway Park - Beach 116 St","0","01","H","H15"
"31","F","F036","B04","21 St - Queensbridge","120","036","F","B04"
"32","F","F034","B08","Lexington Av/63 St","150","034","456FNR","B08"
"33","E","E015","G14","Jackson Hts - Roosevelt Av","330","015","7EFMR","G14"
"34","F","F037","G14","Jackson Hts - Roosevelt Av","360","037","7EFMR","G14"
"35","M","M030","G14","Jackson Hts - Roosevelt Av","90","030","7EFMR","G14"
"36","R","R07","G14","Jackson Hts - Roosevelt Av","90","07","7EFMR","G14"
"37","D","D09","B16","62 St","120","09","DN","B16"
"38","E","E019","G06","Sutphin Blvd - Archer Av - JFK Airport","150","019","EJZ","G06"
"39","J","J029","G06","Sutphin Blvd - Archer Av - JFK Airport","240","029","EJZ","G06"
"40","Z","Z020","G06","Sutphin Blvd - Archer Av - JFK Airport","240","020","EJZ","G06"
"41","B","B027","D21","Broadway-Lafayette St","120","027","6BDFM","D21"
"42","D","D017","D21","Broadway-Lafayette St","120","017","6BDFM","D21"
"43","F","F026","D21","Broadway-Lafayette St","90","026","6BDFM","D21"
"44","A","A07","H04","Broad Channel","240","07","AH","H04"
"45","H","H05","H04","Broad Channel","360","05","AH","H04"
"46","7","702","724","5 Av","90","02","7BDFM","724"
"47","7X","7X02","724","5 Av","90","02","7BDFM","724"
"48","6","6037","602","Buhre Av","90","037","6","602"
"49","6X","6X02","602","Buhre Av","150","02","6","602"
"50","6","6034","606","Zerega Av","60","034","6","606"
"51","6X","6X05","606","Zerega Av","90","05","6","606"
"52","SI","SI019","S28","Clifton","180","019","IS","S28"
"53","SI","SI06","S15","Prince's Bay","120","06","IS","S15"
"54","SI","SI013","S22","New Dorp","120","013","IS","S22"
"55","4","403","405","Bedford Park Blvd - Lehman College","120","03","4","405"
"56","2","2046","251","Sutter Av - Rutland Rd","180","046","34","251"
"57","3","3028","251","Sutter Av - Rutland Rd","390","028","34","251"
"58","4","4029","251","Sutter Av - Rutland Rd","180","029","34","251"
"59","2","2024","227","Central Park North (110 St)","60","024","23","227"
"60","3","306","227","Central Park North (110 St)","60","06","23","227"
"61","2","2012","214","West Farms Sq - E Tremont Av","90","012","2","214"
"62","5","5030","214","West Farms Sq - E Tremont Av","120","030","2","214"
"63","1","1036","138","Cortlandt St","210","036","1","138"
"64","1","1031","133","Christopher St - Sheridan Sq","90","031","1","133"
"65","1","1016","118","Cathedral Pkwy","60","016","1","118"
"66","SI","SI01","S09","Tottenville","0","01","IS","S09"
"67","1","1010","112","168 St - Washington Hts","120","010","1AC","112"
"68","SI","SI04","S13","Richmond Valley","120","04","IS","S13"
"69","SI","SI02","S10","Atlantic","120","02","IS","S10"
